ticker,date,shares
TSM,6/2/2015,300
BNS.TO,6/2/2015,220
XPH,6/2/2015,-70
PEG,6/2/2015,120
NWC.TO,6/2/2015,300
GWO.TO,6/2/2015,150
LCI,6/2/2015,150
GNTX,6/2/2015,250
MON,6/2/2015,50
AAPL,6/2/2015,60
TSM,6/24/2015,310
XPH,6/24/2015,-90
PEG,6/24/2015,180
LCI,6/24/2015,130
GNTX,6/24/2015,250
AAPL,6/24/2015,80
BNS.TO,7/2/2015,200
NWC.TO,7/2/2015,250
GWO.TO,7/2/2015,150
