ticker,date,shares
GWO.TO,1/2/2013,900
TSM,1/2/2013,750
VALE,1/2/2013,700
CWT-UN.TO,1/2/2013,500
KMI,1/2/2013,400
KO,1/2/2013,350
MCD,1/2/2013,300
BNS.TO,1/2/2013,300
MO,1/2/2013,200
CBQ.TO,1/2/2013,200
HD,1/2/2013,200
MAT,1/2/2013,200
AGU,1/2/2013,175
FCX,1/2/2013,150
SLB,1/2/2013,125
DVN,1/2/2013,125
MON,1/2/2013,120
PEG,1/2/2013,100
JPM,1/2/2013,100
LULU,1/2/2013,100
GLD,1/2/2013,80
OXY,1/2/2013,80
