ticker,date,shares
XLI,1/2/2014,2800
XLP,1/2/2014,1900
XLY,1/2/2014,1050
GWO.TO,1/2/2014,900
TSM,1/2/2014,750
KO,1/2/2014,650
MCD,1/2/2014,400
PEG,1/2/2014,400
KMI,1/2/2014,400
MAT,1/2/2014,400
BNS.TO,1/2/2014,300
TOT,1/2/2014,300
SLB,1/2/2014,225
MO,1/2/2014,200
HD,1/2/2014,200
MON,1/2/2014,120
JPM,1/2/2014,100
GLD,1/2/2014,80
AAPL,1/2/2014,70
