ticker,date,shares
FLR,3/14/2014,310
XLI,3/14/2014,-460
HD,3/17/2014,185
XPH,3/17/2014,760
XLP,3/17/2014,-580
XLI,3/17/2014,-480
XLY,3/17/2014,-600
UNP,3/19/2014,130
XLI,3/19/2014,-475
MCD,3/20/2014,-50
JNPR,3/20/2014,950
XLP,3/20/2014,-235
XLY,3/20/2014,-150
CVS,3/24/2014,330
XLP,3/24/2014,-600
MAT,7/21/2014,-400
XLS,9/17/2014,250
AAPL,10/2/2014,50
XLY,10/2/2014,-80
AAPL,10/3/2014,100
XLY,10/3/2014,-150
JNPR,10/10/2014,-950
MON,12/3/2014,60
XLI,12/3/2014,-120
SLB,12/10/2014,50
